[2024-11-02 19:16:24] Client connected: IP 127.0.0.1, Port 54988, Socket FD 4
[2024-11-02 19:16:25] Client connected: IP 127.0.0.1, Port 55002, Socket FD 4
[2024-11-02 19:16:26] Client connected: IP 127.0.0.1, Port 55004, Socket FD 4
[2024-11-02 19:16:27] Client connected: IP 127.0.0.1, Port 55008, Socket FD 4
[2024-11-02 19:16:28] Client connected: IP 127.0.0.1, Port 55024, Socket FD 4
[2024-11-02 19:16:29] Client connected: IP 127.0.0.1, Port 55040, Socket FD 4
[2024-11-02 19:16:30] Client connected: IP 127.0.0.1, Port 44288, Socket FD 4
[2024-11-02 19:16:35] Client connected: IP 127.0.0.1, Port 44294, Socket FD 4
[2024-11-02 19:16:36] Client connected: IP 127.0.0.1, Port 44308, Socket FD 4
[2024-11-02 19:17:09] Client connected: IP 127.0.0.1, Port 35836, Socket FD 4
[2024-11-02 19:17:10] Client connected: IP 127.0.0.1, Port 35852, Socket FD 4
[2024-11-02 19:17:11] Client connected: IP 127.0.0.1, Port 35868, Socket FD 4
[2024-11-02 19:17:12] Client connected: IP 127.0.0.1, Port 35872, Socket FD 4
[2024-11-02 19:17:32] Client connected: IP 127.0.0.1, Port 38300, Socket FD 4
[2024-11-02 19:17:33] Client connected: IP 127.0.0.1, Port 38310, Socket FD 4
[2024-11-02 19:17:41] Client connected: IP 127.0.0.1, Port 52542, Socket FD 4
[2024-11-02 19:17:43] Client connected: IP 127.0.0.1, Port 52558, Socket FD 4
[2024-11-02 19:17:48] Client connected: IP 127.0.0.1, Port 52568, Socket FD 4
[2024-11-02 19:17:49] Client connected: IP 127.0.0.1, Port 51570, Socket FD 4
[2024-11-02 19:21:41] Client connected: IP 127.0.0.1, Port 49102, Socket FD 4
[2024-11-02 19:21:46] Client connected: IP 127.0.0.1, Port 49108, Socket FD 4
[2024-11-02 19:21:52] Client connected: IP 127.0.0.1, Port 47968, Socket FD 4
[2024-11-02 19:21:57] Client connected: IP 127.0.0.1, Port 47982, Socket FD 4
[2024-11-02 19:23:11] Client connected: IP 127.0.0.1, Port 36740, Socket FD 4
[2024-11-02 19:23:16] Client connected: IP 127.0.0.1, Port 36746, Socket FD 4
[2024-11-02 19:23:21] Client connected: IP 127.0.0.1, Port 36750, Socket FD 4
[2024-11-02 19:23:26] Client connected: IP 127.0.0.1, Port 52266, Socket FD 4
[2024-11-02 19:23:54] Client connected: IP 127.0.0.1, Port 35324, Socket FD 4
[2024-11-02 19:24:07] Client connected: IP 127.0.0.1, Port 36658, Socket FD 4
[2024-11-02 20:07:18] Client connected: IP 127.0.0.1, Port 39468, Socket FD 4
[2024-11-02 20:07:20] Client connected: IP 127.0.0.1, Port 39478, Socket FD 4
[2024-11-02 20:07:21] Client connected: IP 127.0.0.1, Port 39482, Socket FD 4
[2024-11-02 20:07:22] Client connected: IP 127.0.0.1, Port 39484, Socket FD 4
[2024-11-02 20:07:23] Client connected: IP 127.0.0.1, Port 39486, Socket FD 4
[2024-11-02 20:07:24] Client connected: IP 127.0.0.1, Port 39498, Socket FD 4
[2024-11-02 20:07:25] Client connected: IP 127.0.0.1, Port 39508, Socket FD 4
[2024-11-02 20:07:26] Client connected: IP 127.0.0.1, Port 39514, Socket FD 4
[2024-11-02 20:08:10] Client connected: IP 127.0.0.1, Port 41738, Socket FD 4
[2024-11-02 20:08:12] Client connected: IP 127.0.0.1, Port 41746, Socket FD 4
[2024-11-02 20:08:14] Client connected: IP 127.0.0.1, Port 41756, Socket FD 4
[2024-11-02 20:08:36] Client connected: IP 127.0.0.1, Port 35114, Socket FD 4
[2024-11-02 20:08:57] Client connected: IP 127.0.0.1, Port 43754, Socket FD 4
[2024-11-02 20:10:00] Client connected: IP 127.0.0.1, Port 55378, Socket FD 4
[2024-11-02 20:10:10] Client connected: IP 127.0.0.1, Port 55386, Socket FD 4
[2024-11-02 20:10:20] Client connected: IP 127.0.0.1, Port 55398, Socket FD 4
[2024-11-02 20:10:30] Client connected: IP 127.0.0.1, Port 33234, Socket FD 4
[2024-11-02 20:10:40] Client connected: IP 127.0.0.1, Port 55086, Socket FD 4
[2024-11-02 21:03:38] Client connected: IP 127.0.0.1, Port 57512, Socket FD 4
[2024-11-02 21:03:48] Client connected: IP 127.0.0.1, Port 56696, Socket FD 4
[2024-11-02 21:04:51] Client connected: IP 127.0.0.1, Port 60478, Socket FD 4
[2024-11-02 21:04:52] Client connected: IP 127.0.0.1, Port 60486, Socket FD 4
[2024-11-02 21:04:53] Client connected: IP 127.0.0.1, Port 60494, Socket FD 4
[2024-11-02 21:04:53] Client connected: IP 127.0.0.1, Port 60510, Socket FD 4
[2024-11-02 21:07:04] Client connected: IP 127.0.0.1, Port 34096, Socket FD 4
[2024-11-02 21:08:02] Client connected: IP 127.0.0.1, Port 43716, Socket FD 4
[2024-11-02 21:08:04] Client connected: IP 127.0.0.1, Port 43722, Socket FD 4
[2024-11-02 21:08:04] Client connected: IP 127.0.0.1, Port 43728, Socket FD 4
[2024-11-02 21:08:05] Client connected: IP 127.0.0.1, Port 43730, Socket FD 4
[2024-11-02 21:08:07] Client connected: IP 127.0.0.1, Port 43738, Socket FD 4
[2024-11-02 21:08:08] Client connected: IP 127.0.0.1, Port 43752, Socket FD 4
[2024-11-02 21:08:08] Client connected: IP 127.0.0.1, Port 38224, Socket FD 4
[2024-11-02 21:08:10] Client connected: IP 127.0.0.1, Port 38230, Socket FD 4
[2024-11-02 21:08:10] Client connected: IP 127.0.0.1, Port 38244, Socket FD 4
[2024-11-02 21:08:11] Client connected: IP 127.0.0.1, Port 38260, Socket FD 4
[2024-11-02 21:08:12] Client connected: IP 127.0.0.1, Port 38264, Socket FD 4
[2024-11-02 21:08:12] Client connected: IP 127.0.0.1, Port 38268, Socket FD 4
[2024-11-02 21:08:12] Client connected: IP 127.0.0.1, Port 38280, Socket FD 4
[2024-11-02 21:08:12] Client connected: IP 127.0.0.1, Port 38290, Socket FD 4
[2024-11-02 21:08:13] Client connected: IP 127.0.0.1, Port 38294, Socket FD 4
[2024-11-02 21:08:13] Client connected: IP 127.0.0.1, Port 38298, Socket FD 4
[2024-11-02 21:08:13] Client connected: IP 127.0.0.1, Port 38306, Socket FD 4
[2024-11-02 21:08:13] Client connected: IP 127.0.0.1, Port 38310, Socket FD 4
[2024-11-02 21:08:13] Client connected: IP 127.0.0.1, Port 38314, Socket FD 4
[2024-11-02 21:08:13] Client connected: IP 127.0.0.1, Port 38328, Socket FD 4
[2024-11-02 21:08:14] Client connected: IP 127.0.0.1, Port 38332, Socket FD 4
[2024-11-02 21:08:14] Client connected: IP 127.0.0.1, Port 38348, Socket FD 4
[2024-11-02 21:08:14] Client connected: IP 127.0.0.1, Port 38356, Socket FD 4
[2024-11-02 21:11:11] Client connected: IP 127.0.0.1, Port 42492, Socket FD 4
[2024-11-02 21:11:23] Client connected: IP 127.0.0.1, Port 54272, Socket FD 4
[2024-11-02 21:11:27] Client connected: IP 127.0.0.1, Port 54288, Socket FD 4
[2024-11-02 21:12:10] Client connected: IP 127.0.0.1, Port 58784, Socket FD 4
[2024-11-02 21:12:10] Client connected: IP 127.0.0.1, Port 58794, Socket FD 4
[2024-11-02 21:12:14] Client connected: IP 127.0.0.1, Port 58806, Socket FD 4
[2024-11-02 21:12:14] Client connected: IP 127.0.0.1, Port 58820, Socket FD 4
[2024-11-02 21:13:08] Client connected: IP 127.0.0.1, Port 47556, Socket FD 4
[2024-11-02 21:14:00] Client connected: IP 127.0.0.1, Port 40394, Socket FD 4
[2024-11-02 21:15:55] Client connected: IP 127.0.0.1, Port 36726, Socket FD 4
[2024-11-02 21:18:08] Client connected: IP 127.0.0.1, Port 54734, Socket FD 4
[2024-11-02 21:18:08] Client connected: IP 127.0.0.1, Port 54744, Socket FD 4
[2024-11-02 21:18:12] Client connected: IP 127.0.0.1, Port 54756, Socket FD 4
[2024-11-02 21:18:12] Client connected: IP 127.0.0.1, Port 54764, Socket FD 4
[2024-11-02 21:18:12] Client connected: IP 127.0.0.1, Port 54774, Socket FD 4
[2024-11-02 21:18:12] Client connected: IP 127.0.0.1, Port 54778, Socket FD 4
[2024-11-02 21:18:13] Client connected: IP 127.0.0.1, Port 54784, Socket FD 4
[2024-11-02 21:18:13] Client connected: IP 127.0.0.1, Port 54798, Socket FD 4
[2024-11-02 21:18:15] Client connected: IP 127.0.0.1, Port 54806, Socket FD 4
[2024-11-02 21:18:15] Client connected: IP 127.0.0.1, Port 54820, Socket FD 4
[2024-11-02 21:18:26] Client connected: IP 127.0.0.1, Port 58016, Socket FD 4
[2024-11-02 21:18:26] Client connected: IP 127.0.0.1, Port 58022, Socket FD 4
[2024-11-02 21:18:30] Client connected: IP 127.0.0.1, Port 33262, Socket FD 4
[2024-11-02 21:18:30] Client connected: IP 127.0.0.1, Port 33272, Socket FD 4
[2024-11-02 21:19:18] Client connected: IP 127.0.0.1, Port 33948, Socket FD 4
[2024-11-02 21:19:18] Client connected: IP 127.0.0.1, Port 33952, Socket FD 4
[2024-11-02 21:19:18] Client connected: IP 127.0.0.1, Port 40778, Socket FD 4
[2024-11-02 21:19:19] Client connected: IP 127.0.0.1, Port 40792, Socket FD 4
[2024-11-02 21:19:19] Client connected: IP 127.0.0.1, Port 40804, Socket FD 4
[2024-11-02 21:19:19] Client connected: IP 127.0.0.1, Port 40810, Socket FD 4
[2024-11-02 21:19:19] Client connected: IP 127.0.0.1, Port 40822, Socket FD 4
[2024-11-02 21:19:20] Client connected: IP 127.0.0.1, Port 40828, Socket FD 4
[2024-11-02 21:19:20] Client connected: IP 127.0.0.1, Port 40842, Socket FD 4
[2024-11-02 21:19:20] Client connected: IP 127.0.0.1, Port 40858, Socket FD 4
[2024-11-02 21:19:21] Client connected: IP 127.0.0.1, Port 40872, Socket FD 4
[2024-11-02 21:20:40] Client connected: IP 127.0.0.1, Port 43058, Socket FD 4
[2024-11-02 21:20:40] Client connected: IP 127.0.0.1, Port 43066, Socket FD 4
[2024-11-02 21:21:34] Client connected: IP 127.0.0.1, Port 59512, Socket FD 4
[2024-11-02 21:21:34] Client connected: IP 127.0.0.1, Port 59520, Socket FD 4
[2024-11-02 21:22:09] Client connected: IP 127.0.0.1, Port 33492, Socket FD 4
[2024-11-02 21:22:10] Client connected: IP 127.0.0.1, Port 33506, Socket FD 4
[2024-11-02 21:22:58] Client connected: IP 127.0.0.1, Port 57360, Socket FD 4
[2024-11-02 21:22:59] Client connected: IP 127.0.0.1, Port 34312, Socket FD 5
[2024-11-02 21:26:50] Client connected: IP 127.0.0.1, Port 36964, Socket FD 4
[2024-11-02 21:26:51] Client connected: IP 127.0.0.1, Port 36968, Socket FD 5
[2024-11-02 21:27:36] Client connected: IP 127.0.0.1, Port 48614, Socket FD 4
[2024-11-02 21:27:37] Client connected: IP 127.0.0.1, Port 48628, Socket FD 4
[2024-11-03 01:03:35] Client connected: IP 192.168.1.48, Port 2303, Socket FD 4
[2024-11-03 01:03:36] Client connected: IP 192.168.1.48, Port 2304, Socket FD 4
[2024-11-03 01:03:37] Client connected: IP 192.168.1.48, Port 2308, Socket FD 4
[2024-11-03 01:03:38] Client connected: IP 192.168.1.48, Port 2309, Socket FD 4
[2024-11-03 01:03:51] Client connected: IP 192.168.1.48, Port 2324, Socket FD 4
[2024-11-03 01:03:52] Client connected: IP 192.168.1.48, Port 2325, Socket FD 4
[2024-11-03 01:03:53] Client connected: IP 192.168.1.48, Port 2326, Socket FD 4
[2024-11-03 01:08:27] Client connected: IP 192.168.1.61, Port 32872, Socket FD 4
[2024-11-03 01:17:57] Client connected: IP 192.168.1.48, Port 3466, Socket FD 4
[2024-11-03 01:17:58] Client connected: IP 192.168.1.48, Port 3467, Socket FD 4
[2024-11-03 01:17:59] Client connected: IP 192.168.1.48, Port 3468, Socket FD 4
[2024-11-03 02:04:28] Client connected: IP 192.168.1.48, Port 4058, Socket FD 4
[2024-11-03 02:04:29] Client connected: IP 192.168.1.48, Port 4059, Socket FD 4
[2024-11-03 02:04:30] Client connected: IP 192.168.1.48, Port 4060, Socket FD 4
[2024-11-03 02:04:31] Client connected: IP 192.168.1.48, Port 4061, Socket FD 4
[2024-11-03 02:05:48] Client connected: IP 192.168.1.48, Port 4065, Socket FD 4
[2024-11-03 02:05:49] Client connected: IP 192.168.1.48, Port 4064, Socket FD 4
[2024-11-03 02:05:50] Client connected: IP 192.168.1.48, Port 4066, Socket FD 4
[2024-11-03 02:05:51] Client connected: IP 192.168.1.48, Port 4067, Socket FD 4
[2024-11-03 02:17:20] Client connected: IP 192.168.1.48, Port 4103, Socket FD 4
[2024-11-03 02:17:21] Client connected: IP 192.168.1.48, Port 4104, Socket FD 4
[2024-11-03 02:17:22] Client connected: IP 192.168.1.48, Port 4105, Socket FD 4
[2024-11-03 02:17:23] Client connected: IP 192.168.1.48, Port 4106, Socket FD 4
[2024-11-03 02:20:20] Client connected: IP 192.168.1.48, Port 4128, Socket FD 4
[2024-11-03 02:20:21] Client connected: IP 192.168.1.48, Port 4129, Socket FD 4
[2024-11-03 13:17:49] Client connected: IP 192.168.1.45, Port 8315, Socket FD 4
[2024-11-03 13:17:56] Client connected: IP 192.168.1.45, Port 8316, Socket FD 4
[2024-11-03 13:17:58] Client connected: IP 192.168.1.45, Port 8319, Socket FD 4
[2024-11-03 13:18:01] Client connected: IP 192.168.1.45, Port 8320, Socket FD 4
[2024-11-03 13:53:31] Client connected: IP 192.168.1.45, Port 8543, Socket FD 4
[2024-11-03 13:54:32] Client connected: IP 192.168.1.45, Port 8643, Socket FD 4
[2024-11-03 13:58:06] Client connected: IP 192.168.1.45, Port 8666, Socket FD 4
